cluster,answer
11,"Clock Resolution in Assertions:
A clock tick is an atomic moment in time and a clock ticks only once at any simulation time. The clock can actually be a single signal, a gated clock (e.g. (clk && GatingSig)) or other more complex expression. When monitoring asynchronous signals, a simulation time step corresponds to a clock tick.

The clock for a property can be specified in several ways, of which the most common are:

The clock is explicitly specified in the property:
property p;
  @(posedge clk) a ##1 b;
endproperty
assert property (p);
The clock is explicitly specified in the concurrent assertion:
assert property (@(posedge clk) a ##1 b);
The clock is inferred from a procedural block:
property p;
  a ##1 b;
endproperty
always @(posedge clk) assert property (p);
The clock can be specified for properties in several ways.
Rules: The clock for an assertion is determined based on the priority mentioned below.

Priority 1: Use the explicitly mentioned clock for the assertion.
Priority 2: Infer clock from code context where it is used.

Priority 3: Use default specified clock.

Note: It is mandatory to mention the clock in case of concurrent assertion. If a clock is not used, statements are considered to be illegal.
Ways to specify the clock
Property has a clock defined
sequence seqA
  req1 ##3 req2;
endsequence

property prop;
  @(posedge clk) seqA;
endproperty

assert property (prop


Sequence has a clock defined
sequence seqA
  @(posedge clk) req1 ##3 req2;
endsequence

property prop;
  seqA;
endproperty

assert property (prop);

nfer clock from clocking block
clocking CB @(posedge clk);
  property prop;
    req1 ##3 req2;
  endproperty
endclocking

assert property (CB.prop);
Infer clock from procedural block
property prop;
  req1 ##3 req2;
endproperty

always @(posedge clk) assert property (prop);
Example:

  module clock_resolve_assertion();
   logic clk = 0;
   logic req,gnt;
   //=================================================
   // Clock inside a sequence 
  //=================================================
 sequence req_gnt_seq;
  @ (posedge clk)
        req  ##1  gnt;
 endsequence
 //=================================================
  // Clock inside a property
  //=================================================
  property req_gnt_prop;
    @ (posedge clk)
        req |=> gnt;
  endproperty
  //=================================================
  // Clock infered from a always block
  //=================================================
  always @ (posedge clk)
  begin
     gnt <= req;
     //==============================================
     // Here clock is infered to be posedge clk
     //==============================================
     req_gnt_assert : assert property (req  |=> gnt);
  end
  //=================================================
  // Default clocking
  //=================================================
  default clocking aclk @ (posedge clk);
    input req;
    input gnt;
  endclocking
  
  property req_gnt_default_prop;
     req |->  ##1  gnt;
  endproperty
  //=================================================
  // clocking clocking
  //=================================================
  clocking reqclk @ (posedge clk);
    input req;
    input gnt;
  endclocking

 property req_gnt_clocking_prop;
     reqclk.req |->  ##1  reqclk.gnt;
 endproperty
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  // Now call all the assertion in one go
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  a1  : assert property (req_gnt_prop);
  a2  : assert property (req_gnt_default_prop);
  a3  : assert property (req_gnt_clocking_prop);
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  //  Assertion testing code
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  always  #1  clk ++;
  
  initial begin
    $monitor(""Req %b Gnt %b"",req,gnt);
    req <= 0; gnt <= 0;
    // Make the assertion pass
     ##1  req  <= 1;
     ##20 ;
    req <= 0;
     #10  $finish;
  end
  
 endmodule
Output:
# KERNEL: Req 0 Gnt 0
# KERNEL: Req 1 Gnt 0
# KERNEL: Req 1 Gnt 1
# KERNEL: Req 0 Gnt 1
# KERNEL: Req 0 Gnt 0"
12,"Implication Operators:
The implication construct (|->) allows a user to monitor sequences based on satisfying some criteria, e.g. attach a precondition to a sequence and evaluate the sequence only if the condition is successful. The left-hand side operand of the implication is called the antecedent sequence expression, while the right-hand side is called the consequent sequence expression.

If there is no match of the antecedent sequence expression, implication succeeds vacuously by returning true. If there is a match, for each successful match of the antecedent sequence expression, the consequent sequence expression is separately evaluated, beginning at the end point of the match.

There are two forms of implication: overlapped using operator |->, and non-overlapped using operator |=>.

For overlapped implication, if there is a match for the antecedent sequence expression, then the first element of the consequent sequence expression is evaluated on the same clock tick.

s1 |-> s2;

In the example above, if the sequence s1 matches, then sequence s2 must also match. If sequence s1 does not match, then the result is true.

For non-overlapped implication, the first element of the consequent sequence expression is evaluated on the next clock tick.

s1 |=> s2;

The expression above is basically equivalent to:

""define true 1
s1 ##1 ""true |-> s2;

where `true is a boolean expression, used for visual clarity, that always evaluates to true.

The implication operator does a property check conditionally if the sequential antecedent is matched.
Syntax:

sequence_exp |-> property_exp
sequence_exp |=> property_exp
The LHS operand sequence_exp is called an antecedent

The RHS operand property_exp is called a consequent.
Type of Implication
Overlapped implication
Non-overlapped implication
Overlapped implication
The overlapped implication operator is denoted by the |-> symbol.

The evaluation of the consequent starts immediately on the same clock cycle if the antecedent holds true.

The consequent is not evaluated if the antecedent is not true.

Example:property prop;
  @(posedge clk) valid |-> (a ##3 b);
endproperty



Non-overlapped implication
The overlapped implication operator is denoted by the |=> symbol.

The evaluation of the consequent starts in the next clock cycle if the antecedent holds true.

The consequent is not evaluated if the antecedent is not true.

Example:
property prop;
  @(posedge clk) valid |=> (a ##3 b);
endproperty"
13,"Overlapped Implication Operator:
The overlapped implication operator is denoted by the |-> symbol.

The evaluation of the consequent starts immediately on the same clock cycle if the antecedent holds true.

The consequent is not evaluated if the antecedent is not true.

Example:

property prop;
  @(posedge clk) valid |-> (a ##3 b);
endproperty


Example:
By using edaplayground online platform you can perform below code.
Below code is written for AND operation by using immediate assertions:
Code:
Language:System Verilog
module asertion_ex;
  bit clk,a,b;
  
  always #5 clk = ~clk; //clock generation
  
  //generating 'a'
  initial begin 
        a=1; b=1;
    #15 a=0; b=0;
    #10 a=1; b=0;
    #10 a=0; b=0;
    #10 a=1; b=1;
    #10;
    $finish;
  end
  
  property p;
    @(posedge clk) a |-> b;
  endproperty
  
  //calling assert property
  a_1: assert property(p);
    
  //wave dump
  initial begin 
    $dumpfile(""dump.vcd""); $dumpvars;
  end
endmodule
Output:
KERNEL: ASDB file was created in location /home/runner/dataset.asdb
# ASSERT: Error: ASRT_0005 testbench.sv(25): Assertion ""a_1"" FAILED at time: 35ns, scope: asertion_ex, start-time: 35ns
# RUNTIME: Info: RUNTIME_0068 testbench.sv (17): $finish called.
Output waveform is given  above.
"
14,"Non-Overlapped Implication Operator:

The overlapped implication operator is denoted by the |=> symbol.

The evaluation of the consequent starts in the next clock cycle if the antecedent holds true.

The consequent is not evaluated if the antecedent is not true.

Example:
property prop;
  @(posedge clk) valid |=> (a ##3 b);
endproperty



Example:
By using edaplayground online platform you can perform below code.
Below code is written for AND operation by using immediate assertions:
Code:
Language:System Verilog
module asertion_ex;
  bit clk,a,b;
  
  always #5 clk = ~clk; //clock generation
  
  //generating 'a'
  initial begin 
        a=1; b=1;
    #15 a=0; b=0;
    #10 a=1; b=0;
    #10 a=0; b=0;
    #10 a=1; b=1;
    #10;
    $finish;
  end
  
  property p;
    @(posedge clk) a |=> b;
  endproperty
  
  //calling assert property
  a_1: assert property(p);
    
  //wave dump
  initial begin 
    $dumpfile(""dump.vcd""); $dumpvars;
  end
endmodule

output:
# KERNEL: ASDB file was created in location /home/runner/dataset.asdb
# ASSERT: Error: ASRT_0005 testbench.sv(25): Assertion ""a_1"" FAILED at time: 25ns, scope: asertion_ex, start-time: 15ns
# ASSERT: Error: ASRT_0005 testbench.sv(25): Assertion ""a_1"" FAILED at time: 45ns, scope: asertion_ex, start-time: 35ns
# RUNTIME: Info: RUNTIME_0068 testbench.sv (17): $finish called.
Output waveform is given above"
15,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module imm_and;
  bit a,b;
  bit clk;
  
  always #10 clk=~clk;
  
  initial begin
    for(int i=0;i<10;i++)
      begin
        @(posedge clk);
        a<=$random;
        b<=$random;
        $display(""[%0t] a=%b b=%b"",$time,a,b);
      end
    #10 $finish;
  end
  
  always @(posedge clk) assert(a&b);
    endmodule
Link for execution:https://edaplayground.com/x/WigF"
16,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module imm_or;
  bit a,b;
  bit clk;
  
  always #10 clk=~clk;
  
  initial begin
    for(int i=0;i<10;i++)
      begin
        @(posedge clk);
        a<=$random;
        b<=$random;
        $display(""[%0t] a=%b b=%b"",$time,a,b);
      end
    #10 $finish;
  end
  
  always @(posedge clk) assert(a|b);
    endmodule
Link for execution:https://edaplayground.com/x/uKqg"
17,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)
module con_and;
  bit a,b;
  bit clk;
  
  always #10 clk=~clk;
  
  initial begin
    for(int i=0;i<10;i++)
      begin
        @(posedge clk);
        a<=$random;
        b<=$random;
        $display(""[%0t] a=%b b=%b"",$time,a,b);
      end
    #10 $finish;
  end
  
  assert property(@(posedge clk) a&b);
 endmodule
Link For Execution:https://edaplayground.com/x/EXKf"
18,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module con_or;
  bit a,b;
  bit clk;
  
  always #10 clk=~clk;
  
  initial begin
    for(int i=0;i<10;i++)
      begin
        @(posedge clk);
        a<=$random;
        b<=$random;
        $display(""[%0t] a=%b b=%b"",$time,a,b);
      end
    #10 $finish;
  end
  
  assert property(@(posedge clk) a|b);
 endmodule
Link For Execution:https://edaplayground.com/x/tFGv  "
19,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

module assertion_example;
  bit a,b;
  bit clk;
  
  always #10 clk=~clk;
  
  initial begin
    for(int i=0;i<10;i++)
      begin
        @(posedge clk);
        a<=$random;
        b<=$random;
        $display(""[%0t] a=%b b=%b"",$time,a,b);
      end
    #10 $finish;
  end
  
  always @(posedge clk) assert(a|b);
    endmodule
Link for Execution:https://edaplayground.com/x/LTtv"
20,"Here is the code written in system verilog using online platform edaplayground(https://edaplayground.com/)

  module clock_resolve_assertion();
   logic clk = 0;
   logic req,gnt;
   //=================================================
   // Clock inside a sequence 
  //=================================================
 sequence req_gnt_seq;
  @ (posedge clk)
        req  ##1  gnt;
 endsequence
 //=================================================
  // Clock inside a property
  //=================================================
  property req_gnt_prop;
    @ (posedge clk)
        req |=> gnt;
  endproperty
  //=================================================
  // Clock infered from a always block
  //=================================================
  always @ (posedge clk)
  begin
     gnt <= req;
     //==============================================
     // Here clock is infered to be posedge clk
     //==============================================
     req_gnt_assert : assert property (req  |=> gnt);
  end
  //=================================================
  // Default clocking
  //=================================================
  default clocking aclk @ (posedge clk);
    input req;
    input gnt;
  endclocking
  
  property req_gnt_default_prop;
     req |->  ##1  gnt;
  endproperty
  //=================================================
  // clocking clocking
  //=================================================
  clocking reqclk @ (posedge clk);
    input req;
    input gnt;
  endclocking

 property req_gnt_clocking_prop;
     reqclk.req |->  ##1  reqclk.gnt;
 endproperty
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  // Now call all the assertion in one go
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  a1  : assert property (req_gnt_prop);
  a2  : assert property (req_gnt_default_prop);
  a3  : assert property (req_gnt_clocking_prop);
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  //  Assertion testing code
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  always  #1  clk ++;
  
  initial begin
    $monitor(""Req %b Gnt %b"",req,gnt);
    req <= 0; gnt <= 0;
    // Make the assertion pass
     ##1  req  <= 1;
     ##20 ;
    req <= 0;
     #10  $finish;
  end
 
  module clock_resolve_assertion();
   logic clk = 0;
   logic req,gnt;
   //=================================================
   // Clock inside a sequence 
  //=================================================
 sequence req_gnt_seq;
  @ (posedge clk)
        req  ##1  gnt;
 endsequence
 //=================================================
  // Clock inside a property
  //=================================================
  property req_gnt_prop;
    @ (posedge clk)
        req |=> gnt;
  endproperty
  //=================================================
  // Clock infered from a always block
  //=================================================
  always @ (posedge clk)
  begin
     gnt <= req;
     //==============================================
     // Here clock is infered to be posedge clk
     //==============================================
     req_gnt_assert : assert property (req  |=> gnt);
  end
  //=================================================
  // Default clocking
  //=================================================
  default clocking aclk @ (posedge clk);
    input req;
    input gnt;
  endclocking
  
  property req_gnt_default_prop;
     req |->  ##1  gnt;
  endproperty
  //=================================================
  // clocking clocking
  //=================================================
  clocking reqclk @ (posedge clk);
    input req;
    input gnt;
  endclocking

 property req_gnt_clocking_prop;
     reqclk.req |->  ##1  reqclk.gnt;
 endproperty
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  // Now call all the assertion in one go
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  a1  : assert property (req_gnt_prop);
  a2  : assert property (req_gnt_default_prop);
  a3  : assert property (req_gnt_clocking_prop);
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  //  Assertion testing code
  //+++++++++++++++++++++++++++++++++++++++++++++++++
  always  #1  clk ++;
  
  initial begin
    $monitor(""Req %b Gnt %b"",req,gnt);
    req <= 0; gnt <= 0;
    // Make the assertion pass
     ##1  req  <= 1;
     ##20 ;
    req <= 0;
     #10  $finish;
  end
  
 endmodule
Link for execution:https://edaplayground.com/x/98Xp"
21,"A sequence repetition operator indicates that the sequence occurs a number of times. The number of times the sequence repeats is always a non-negative number (i.e. zero or positive number) and can be specified either as a fixed number or a range. If it is a range, then the maximum limit of the range can also be specified as '$', which indicates a finite but unbounded maximum.There are three types of repetition operators.
a)Consecutive Repetition Operator
b)Goto Repetition Operator
c)Non-consecutive Repetition Operator
The last two of these operators actually work on boolean expressions rather than on sequences.
The min value can be less then 0 and max value as sees in earlier page is $.
Example:
property p;
  @(posedge clk) a |-> ##1 b ##1 b ##1 b;
endproperty
a: assert property(p);
The above property checks that, if the signal “a” is high on given posedge of the clock, the signal “b” should be high for 3 consecutive clock cycles.
with repetition operator above sequence can be re-written as,
property p;
  @(posedge clk) a |-> ##1 b[*3];
endproperty
a: assert property(p);
----------------------------------------------------------------------------------------------------------------------------------------------------
If the sequence of events happens repeatedly for n times and it is represented as [*n] where “n” > 0 and “n” cannot be $.
Example 
The repetition operator can also be used in a certain range using [*m:n] where both “m” and “n” > 0 and n can not be $.
sequence seq;
  @(posedge clk) req1 ##1 req2[*2:4];
endsequence
In this example, if req1 is true then after 1 clock cycle, req2 must be true for a minimum of 2 and a maximum of 4 consecutive clock cycles.
req1 ##1 req2[*2:4] is same as
req1 ##1 req2 ##1 req2 or
req1 ##1 req2 ##1 req2 ##1 req2 or 
req1 ##1 req2 ##1 req2 ##1 req2 ##1 req2;
"
22,"There are 3 types of repetition operators in assertion:
1.Non-consecutive repetitive operator
2.Go to repetitive operator
3.Consecutive repetitive operator"
